Release,ClassName,SizeLOC
1,"console/src/main/java/org/apache/syncope/console/rest/ConnectorRestClient.java",201
1,"console/src/main/java/org/apache/syncope/console/rest/EntitlementRestClient.java",50
1,"console/src/main/java/org/apache/syncope/console/rest/ExecutionRestClient.java",31
1,"console/src/main/java/org/apache/syncope/console/rest/InvalidPolicyType.java",31
1,"console/src/main/java/org/apache/syncope/console/rest/LoggerRestClient.java",80
1,"console/src/main/java/org/apache/syncope/console/rest/NotificationRestClient.java",72
1,"console/src/main/java/org/apache/syncope/console/rest/PolicyRestClient.java",191
1,"console/src/main/java/org/apache/syncope/console/rest/ReportRestClient.java",111
1,"console/src/main/java/org/apache/syncope/console/rest/ResourceRestClient.java",72
1,"console/src/main/java/org/apache/syncope/console/rest/RoleRestClient.java",104
1,"console/src/main/java/org/apache/syncope/console/rest/SchemaRestClient.java",306
1,"console/src/main/java/org/apache/syncope/console/rest/TaskRestClient.java",193
1,"console/src/main/java/org/apache/syncope/console/rest/UserRequestRestClient.java",60
1,"console/src/main/java/org/apache/syncope/console/rest/UserRestClient.java",167
1,"console/src/main/java/org/apache/syncope/console/rest/WorkflowRestClient.java",39
1,"console/src/main/java/org/apache/syncope/console/wicket/ajax/form/AbstractAjaxDownloadBehavior.java",48
1,"console/src/main/java/org/apache/syncope/console/wicket/ajax/markup/html/IndicatingDeleteOnConfirmAjaxLink.java",50
1,"console/src/main/java/org/apache/syncope/console/wicket/extensions/markup/html/repeater/data/table/DatePropertyColumn.java",56
1,"console/src/main/java/org/apache/syncope/console/wicket/extensions/markup/html/repeater/data/table/TokenColumn.java",48
1,"console/src/main/java/org/apache/syncope/console/wicket/extensions/markup/html/repeater/data/table/UserAttrColumn.java",93
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AbstractFieldPanel.java",42
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/ActionLink.java",43
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/ActionLinksPanel.java",254
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxCheckBoxPanel.java",94
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxDecoratedCheckbox.java",67
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxDropDownChoicePanel.java",79
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxNumberFieldPanel.java",51
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxPalettePanel.java",67
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxPasswordFieldPanel.java",64
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxTextFieldPanel.java",87
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/CheckBoxMultipleChoiceFieldPanel.java",46
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/DateFieldPanel.java",139
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/DateTextFieldPanel.java",88
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/DateTimeFieldPanel.java",215
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/FieldPanel.java",214
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/LinkPanel.java",39
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/MultiValueSelectorPanel.java",168
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/SelectableRecorder.java",202
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/SingleColumnPalette.java",215
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/tree/TreeActionLinkPanel.java",149
1,"console/src/main/java/org/apache/syncope/console/wicket/markup/html/tree/TreeRolePanel.java",107
1,"core/src/main/java/org/apache/syncope/core/audit/AuditManager.java",67
1,"core/src/main/java/org/apache/syncope/core/audit/JNDIFallbackConnectionSource.java",158
1,"core/src/main/java/org/apache/syncope/core/connid/SLF4JLogger.java",112
1,"core/src/main/java/org/apache/syncope/core/init/ActivitiWorkflowLoader.java",66
1,"core/src/main/java/org/apache/syncope/core/init/ConnInstanceLoader.java",155
1,"core/src/main/java/org/apache/syncope/core/init/ContentLoader.java",192
1,"core/src/main/java/org/apache/syncope/core/init/ImplementationClassNamesLoader.java",123
1,"core/src/main/java/org/apache/syncope/core/init/JobInstanceLoader.java",224
1,"core/src/main/java/org/apache/syncope/core/init/LoggerLoader.java",82
1,"core/src/main/java/org/apache/syncope/core/init/SpringContextInitializer.java",72
1,"core/src/main/java/org/apache/syncope/core/notification/NotificationManager.java",275
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractAttr.java",96
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractAttrUniqueValue.java",28
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractAttrValue.java",164
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractAttributable.java",168
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractBaseBean.java",135
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractDerAttr.java",88
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractDerSchema.java",72
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractExec.java",93
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractSchema.java",242
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractVirAttr.java",68
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractVirSchema.java",58
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/AccountPolicy.java",40
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/ConnInstance.java",183
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/Entitlement.java",55
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/ExternalResource.java",356
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/Notification.java",198
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/NotificationTask.java",144
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/PasswordPolicy.java",40
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/Policy.java",75
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/PropagationTask.java",139
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/Report.java",145
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/ReportExec.java",74
