Project,Release,ClassName,NOM,FanOut,CyclomaticComplexity,LOCTouched,NFix,NAuth,LOCAdded,MaxLOCAdded,Churn,MaxChurn,NS,ND,ChangeSetSize,Age,NSmells,Bugginess
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/AbstractSchemaModalPage.java",2,3,2,104,0,3,77,47,50,47,37,347,2759,452,1,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/ApprovalModalPage.java",5,10,24,611,0,3,411,235,211,235,53,430,2991,282,2,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/BaseModalPage.java",1,1,1,154,0,3,104,14,54,14,56,471,3232,783,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/BasePage.java",11,6,17,837,0,4,529,114,221,109,72,534,3333,783,2,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/Configuration.java",36,18,54,2939,0,4,1822,350,705,258,119,759,4008,783,16,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/ConfigurationModalPage.java",2,4,5,394,0,3,255,105,116,105,67,522,3337,677,3,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/ConnectorModalPage.java",15,14,43,2499,0,4,1471,253,443,253,132,787,3971,758,5,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/DerivedSchemaModalPage.java",3,5,11,565,0,3,342,121,119,121,61,457,3290,758,1,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/DisplayAttributesModalPage.java",10,5,18,1155,0,3,733,251,311,223,81,560,3407,731,1,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/EditUserModalPage.java",2,7,4,170,0,3,130,98,90,98,32,321,2637,177,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/ErrorPage.java",0,0,0,101,0,3,71,15,41,14,45,405,2910,783,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/ExecMessageModalPage.java",0,0,0,112,0,3,72,21,32,21,51,393,2784,383,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/HomePage.java",0,0,0,71,0,3,52,16,33,16,29,280,2268,783,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/Login.java",11,4,15,1410,0,4,841,141,272,116,87,560,3286,782,10,No
