Project,Release,ClassName,NOM,FanOut,CyclomaticComplexity,LOCTouched,NFix,NAuth,LOCAdded,MaxLOCAdded,Churn,MaxChurn,NS,ND,ChangeSetSize,Age,NSmells,Bugginess
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/pages/panels/RoleAttributesPanel.java,1,5,1,0,0,3,0,0,0,0,0,0,0,291,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/pages/panels/RoleSecurityPanel.java,6,6,11,0,0,3,0,0,0,0,0,0,0,314,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/rest/AbstractBaseRestClient.java,0,0,0,0,0,4,0,0,0,0,0,0,0,845,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/rest/ConnectorRestClient.java,11,6,21,0,0,5,0,0,0,0,0,0,0,781,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/rest/InvalidPolicyType.java,0,0,0,0,0,3,0,0,0,0,0,0,0,806,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/wicket/extensions/markup/html/repeater/data/table/UserAttrColumn.java,1,1,10,0,0,3,0,0,0,0,0,0,0,292,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/ActionLink.java,1,0,1,0,0,3,0,0,0,0,0,0,0,845,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxCheckBoxPanel.java,5,0,16,0,0,4,0,0,0,0,0,0,0,754,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxDropDownChoicePanel.java,5,0,5,0,0,3,0,0,0,0,0,0,0,754,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/DateFieldPanel.java,6,1,32,0,0,5,0,0,0,0,0,0,0,362,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/FieldPanel.java,19,0,35,0,0,3,0,0,0,0,0,0,0,362,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/SelectableRecorder.java,9,0,30,0,0,1,0,0,0,0,0,0,0,175,0,No
SYNCOPE,2,console/src/main/java/org/apache/syncope/console/wicket/markup/html/tree/TreeRolePanel.java,4,4,5,0,0,3,0,0,0,0,0,0,0,291,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/init/ActivitiWorkflowLoader.java,1,1,4,0,0,4,0,0,0,0,0,0,0,319,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/notification/NotificationManager.java,7,21,26,0,0,4,0,0,0,0,0,0,0,295,0,Yes
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractBaseBean.java,9,1,18,0,0,3,0,0,0,0,0,0,0,845,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractDerSchema.java,9,1,9,0,0,3,0,0,0,0,0,0,0,802,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractVirSchema.java,7,1,7,0,0,3,0,0,0,0,0,0,0,802,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/beans/ConnInstance.java,19,3,25,0,0,3,0,0,0,0,0,0,0,810,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/beans/ExternalResource.java,39,6,49,0,0,4,0,0,0,0,0,0,0,790,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/beans/Report.java,13,2,27,0,0,3,0,0,0,0,0,0,0,200,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/beans/SyncTask.java,17,4,18,0,0,4,0,0,0,0,0,0,0,406,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/beans/membership/Membership.java,24,7,30,0,0,4,0,0,0,0,0,0,0,769,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/beans/user/SyncopeUser.java,53,9,96,0,0,5,0,0,0,0,0,0,0,799,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/dao/RoleDAO.java,12,5,12,0,0,3,0,0,0,0,0,0,0,845,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/dao/impl/ConfDAOImpl.java,5,3,9,0,0,3,0,0,0,0,0,0,0,834,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/dao/impl/ResourceDAOImpl.java,8,12,19,0,0,3,0,0,0,0,0,0,0,790,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/dao/impl/RoleDAOImpl.java,14,8,26,0,0,3,0,0,0,0,0,0,0,834,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/validation/entity/AbstractValidator.java,0,0,0,0,0,3,0,0,0,0,0,0,0,845,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/validation/entity/NotificationValidator.java,2,2,7,0,0,3,0,0,0,0,0,0,0,302,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/validation/entity/SchemaMappingValidator.java,2,4,12,0,0,4,0,0,0,0,0,0,0,354,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/validation/entity/SyncTaskValidator.java,2,3,9,0,0,5,0,0,0,0,0,0,0,400,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/validation/entity/SyncopeUserValidator.java,4,13,19,0,0,4,0,0,0,0,0,0,0,312,0,No
