@relation dataset_C-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute NOM numeric
@attribute FanOut numeric
@attribute CyclomaticComplexity numeric
@attribute LOCTouched numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOCAdded numeric
@attribute MaxLOCAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute NS numeric
@attribute ND numeric
@attribute ChangeSetSize numeric
@attribute Age numeric
@attribute NSmells numeric
@attribute Bugginess {No,Yes}

@data
4,0,4,206,0,3,129,35,52,35,56,387,2466,822,0,No
6,2,6,467,0,3,268,58,69,58,75,573,2938,811,0,No
5,0,10,466,0,3,270,191,74,191,64,564,3096,660,0,No
4,0,4,344,0,3,204,133,64,133,72,542,3062,660,0,No
8,4,11,143,0,3,117,88,91,88,54,412,2860,269,0,No
11,4,19,371,0,4,255,91,139,91,73,618,3308,776,0,No
5,3,7,148,0,4,112,49,76,49,49,409,2559,618,0,No
3,2,4,249,0,4,153,35,57,35,55,414,2602,822,0,No
4,3,6,136,0,4,99,53,62,53,43,393,2889,776,0,No
0,1,0,383,0,3,207,93,31,93,55,442,2683,776,0,No
0,1,0,478,0,3,253,89,28,89,63,528,2777,776,0,No
5,3,7,162,0,4,116,53,70,53,42,394,2883,776,0,No
0,1,0,493,0,3,262,89,31,89,72,542,2887,776,0,No
0,0,0,120,0,3,70,14,20,14,59,435,2924,783,0,No
11,4,19,376,0,4,256,91,136,91,73,618,3308,776,0,No
5,3,7,150,0,4,111,49,72,49,49,409,2559,618,0,No
3,2,4,241,0,4,149,35,57,35,53,402,2574,822,0,No
4,3,6,123,0,4,93,53,63,53,40,369,2814,776,0,No
0,1,0,343,0,3,186,93,29,93,53,429,2654,776,0,No
0,1,0,406,0,3,217,89,28,89,59,502,2724,776,0,No
5,3,7,149,0,4,109,53,69,53,39,370,2808,776,0,No
0,1,0,421,0,3,226,89,31,89,68,516,2834,776,0,No
39,11,72,1072,0,4,746,164,420,164,105,805,3669,776,0,No
11,4,19,401,0,4,279,91,157,91,78,642,3373,776,0,No
5,3,7,148,0,4,110,49,72,49,49,409,2559,618,0,No
3,2,4,265,0,4,161,35,57,35,57,433,2643,822,0,No
4,3,6,125,0,4,94,53,63,53,48,425,2990,776,0,No
0,2,0,343,0,3,187,89,31,89,58,467,2764,776,0,No
0,2,0,434,0,3,233,89,32,89,63,532,2810,776,0,No
5,3,8,206,0,5,139,53,72,53,47,429,2951,776,0,No
0,2,0,446,0,3,239,89,32,89,68,525,2856,776,0,No
5,2,5,194,0,3,115,35,36,35,56,458,3080,822,0,No
5,2,5,214,0,3,125,35,36,35,65,506,3195,822,0,No
5,2,5,198,0,3,117,35,36,35,64,504,3154,822,0,No
4,2,4,218,0,3,126,35,34,35,70,527,3150,822,0,No
4,1,4,104,0,3,68,15,32,14,49,418,2883,783,0,No
5,2,5,196,0,3,116,35,36,35,56,458,3080,822,0,No
5,4,5,192,0,3,115,35,38,35,62,491,3161,822,0,No
6,3,6,177,0,3,108,35,39,35,62,496,3074,822,0,No
5,3,5,237,0,3,137,35,37,35,77,567,3223,822,0,No
5,4,5,168,0,3,103,35,38,35,53,441,2964,822,0,No
1,0,1,97,0,3,65,14,33,14,33,323,2364,783,0,No
4,2,4,122,0,3,78,21,34,21,46,380,2714,383,0,No
8,5,8,151,0,3,98,14,45,14,53,474,3022,783,0,No
7,2,7,234,0,3,137,35,40,35,73,547,3205,822,0,No
7,3,7,237,0,3,139,35,41,35,79,573,3295,822,0,No
8,4,8,242,0,3,143,35,44,35,79,596,3269,822,0,No
5,4,5,238,0,3,138,35,38,35,76,545,3173,822,0,No
12,5,12,277,0,3,165,35,53,35,78,595,3358,822,0,No
8,3,8,231,0,3,137,35,43,35,65,506,3116,822,0,No
13,5,13,232,0,3,144,35,56,35,94,679,3485,822,0,No
4,2,4,132,0,3,83,21,34,21,50,396,2736,383,0,No
4,2,4,295,0,5,177,35,59,35,81,602,3395,822,0,No
5,2,5,210,0,3,123,35,36,35,60,477,3137,822,0,No
5,4,5,202,0,3,120,35,38,35,62,491,3161,822,0,No
8,2,12,322,0,3,207,35,92,35,84,553,3151,822,0,No
5,2,7,440,0,3,253,58,66,58,64,514,3237,811,0,No
5,2,7,528,0,3,298,58,68,58,74,561,3326,811,0,No
4,5,9,376,0,3,232,58,88,58,72,554,3132,811,0,No
5,2,7,383,0,3,226,58,69,58,61,501,3189,811,0,No
5,6,8,416,0,3,259,58,102,58,71,568,3321,811,0,No
6,5,9,368,0,3,227,58,86,58,72,586,3301,811,0,No
5,4,8,110,0,3,89,52,68,52,36,348,2651,185,0,No
5,6,8,194,0,3,142,60,90,60,47,422,2858,746,0,No
4,3,4,92,0,3,72,50,52,50,31,320,2597,279,0,No
8,6,14,216,0,3,151,75,86,75,51,439,2901,352,0,No
7,3,10,133,0,3,109,79,85,79,34,339,2645,177,0,No
8,4,12,158,0,3,129,74,100,74,38,354,2723,177,0,No
5,6,8,898,0,3,496,145,94,125,113,808,3812,811,0,No
13,8,23,586,0,4,388,58,190,58,88,660,3517,811,0,No
9,7,14,449,0,3,285,58,121,58,74,569,3296,811,0,No
4,3,4,120,0,3,88,50,56,50,35,336,2619,279,0,No
5,2,7,569,0,3,319,58,69,58,78,580,3383,811,0,No
5,6,8,961,0,3,531,145,101,125,108,766,3751,811,0,No
3,3,16,619,0,3,369,149,119,149,66,520,3120,793,0,No
1,2,2,223,0,3,131,35,39,35,58,454,3004,822,0,No
1,3,6,230,0,4,142,35,54,35,65,485,3053,822,0,No
1,2,2,161,0,3,102,47,43,47,47,434,2988,793,0,No
0,1,0,191,0,3,112,35,33,35,57,452,3006,822,0,No
0,0,0,124,0,3,77,35,30,35,40,337,2347,822,0,No
1,1,1,523,0,3,275,149,27,149,51,461,3014,793,0,No
0,0,0,72,0,3,56,38,40,38,31,331,2640,618,0,No
0,0,0,72,0,3,56,38,40,38,31,331,2640,618,0,No
0,0,0,78,0,3,59,38,40,38,35,360,2707,618,0,No
1,0,2,127,0,3,96,68,65,68,42,383,2746,618,0,No
0,0,0,84,0,3,62,38,40,38,38,384,2765,618,0,No
4,1,7,170,0,3,131,57,92,57,46,410,2830,618,0,No
0,0,0,78,0,3,59,37,40,37,35,345,2659,383,0,No
0,0,0,78,0,3,59,38,40,38,34,347,2667,618,0,No
0,0,0,70,0,3,55,37,40,37,33,333,2640,383,0,No
0,0,0,82,0,3,61,37,40,37,38,359,2702,383,0,No
0,0,0,70,0,3,55,37,40,37,33,333,2640,383,0,No
0,0,0,72,0,3,56,38,40,38,31,331,2640,618,0,No
0,0,0,84,0,3,62,38,40,38,38,375,2732,618,0,No
0,0,0,76,0,3,58,37,40,37,35,339,2647,383,0,No
0,0,0,84,0,3,62,38,40,38,41,390,2769,618,0,No
0,0,0,76,0,3,58,38,40,38,34,357,2713,618,0,No
0,0,0,130,0,3,81,15,32,14,41,359,2428,783,0,No
12,2,58,502,0,3,359,243,216,243,39,382,2782,339,0,No
0,0,0,122,0,3,77,15,32,14,38,337,2376,783,0,No
0,0,0,120,0,3,76,15,32,14,38,337,2376,783,0,No
12,1,32,668,0,4,475,126,282,126,85,584,3186,737,0,Yes
1,0,1,211,0,3,131,35,51,35,61,453,2946,822,0,No
0,0,0,120,0,3,70,14,20,14,59,435,2924,783,0,No
5,3,6,213,0,3,145,50,77,45,55,432,2878,383,0,No
0,0,0,158,0,3,95,21,32,21,48,365,2369,383,0,No
2,1,2,103,0,4,75,44,47,44,42,374,2760,177,0,No
0,1,0,138,0,3,85,21,32,21,56,416,2837,383,0,No
1,1,10,86,0,1,82,79,78,79,17,161,1304,152,0,No
2,7,3,176,0,3,121,44,66,44,43,391,2752,601,0,No
5,9,9,564,0,4,354,80,144,80,79,585,3366,774,0,No
0,0,0,98,0,3,64,14,30,14,37,334,2371,783,0,No
8,21,20,2463,0,5,1373,319,283,319,132,842,3840,760,0,No
8,13,27,747,0,4,497,164,247,164,75,540,3224,751,0,No
5,9,9,978,0,4,561,70,144,65,112,786,3773,779,0,No
1,0,1,232,0,3,136,35,40,35,53,399,2458,822,0,No
9,12,16,389,0,5,305,165,221,165,42,369,2784,269,0,No
5,9,9,334,0,5,239,123,144,123,46,375,2828,457,0,No
3,7,3,150,0,3,117,65,84,65,35,350,2724,272,0,No
2,2,2,139,0,3,92,43,45,43,47,400,2817,747,0,No
3,9,22,927,0,4,554,214,181,214,98,619,3243,762,0,No
4,7,7,418,0,3,254,85,90,85,64,475,2965,774,0,No
3,2,3,103,0,4,81,58,59,58,34,333,2612,279,0,No
4,10,9,727,0,3,421,87,115,80,91,644,3345,774,0,No
8,0,10,160,0,3,132,101,104,101,40,353,2671,789,0,No
6,7,10,187,0,4,147,98,107,98,42,380,2787,269,0,No
0,0,0,120,0,3,70,14,20,14,59,435,2924,783,0,No
3,6,9,209,0,3,149,90,89,90,52,441,2886,598,0,No
2,0,2,248,0,3,145,35,42,35,60,488,2987,822,0,No
3,3,18,261,0,5,204,87,147,87,41,351,2643,317,0,No
2,0,8,144,0,3,111,83,78,83,33,321,2594,185,0,No
4,10,20,167,0,3,144,85,121,85,35,338,2383,383,0,No
14,0,18,182,0,4,144,107,106,107,34,325,2601,206,0,No
12,6,12,242,0,4,176,95,110,95,49,445,2914,290,0,No
0,0,0,86,0,3,64,21,42,21,36,307,2285,383,0,No
9,1,9,151,0,3,120,70,89,70,36,362,2729,272,0,No
2,3,2,119,0,3,90,60,61,60,43,392,2743,296,0,No
1,1,1,95,0,4,63,21,31,21,43,369,2691,383,0,No
1,3,1,85,0,4,63,38,41,38,39,366,2688,296,0,No
1,2,2,83,0,4,62,36,41,36,40,361,2678,296,0,No
1,2,1,85,0,3,61,34,37,34,35,335,2630,296,0,No
1,1,1,97,0,3,66,21,35,21,40,324,2289,383,0,No
1,0,1,106,0,3,66,21,26,21,40,324,2286,383,0,No
4,0,4,113,0,3,79,21,45,21,38,316,2269,383,0,No
13,4,16,178,0,3,155,131,132,131,30,318,2597,284,0,No
1,4,1,104,0,4,73,44,42,44,43,402,2814,296,0,No
0,0,0,120,0,3,70,14,20,14,59,435,2924,783,0,No
1,0,16,293,0,3,212,77,131,77,41,332,2611,201,0,No
0,1,0,0,0,3,0,0,0,0,0,0,0,406,0,No
0,0,0,0,0,3,0,0,0,0,0,0,0,406,0,No
3,0,3,0,0,3,0,0,0,0,0,0,0,845,0,No
1,0,2,0,0,4,0,0,0,0,0,0,0,845,0,No
2,0,2,0,0,4,0,0,0,0,0,0,0,221,0,No
35,1,42,0,0,4,0,0,0,0,0,0,0,761,0,No
11,1,12,0,0,3,0,0,0,0,0,0,0,761,0,No
21,0,32,0,0,3,0,0,0,0,0,0,0,781,0,No
