@relation dataset_Bplus-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute NOM numeric
@attribute FanOut numeric
@attribute CyclomaticComplexity numeric
@attribute LOCTouched numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOCAdded numeric
@attribute MaxLOCAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute NS numeric
@attribute ND numeric
@attribute ChangeSetSize numeric
@attribute Age numeric
@attribute NSmells numeric
@attribute Bugginess {No,Yes}

@data
0,0,0,0,0,3,0,0,0,0,0,0,0,838,1,No
8,0,8,2,0,4,1,1,0,0,3,14,30,877,1,No
29,0,39,2,0,4,1,1,0,0,3,14,30,844,1,No
18,1,24,2,0,4,1,1,0,0,3,14,30,340,1,No
1,0,1,0,0,3,0,0,0,0,0,0,0,838,1,No
15,1,17,0,0,4,0,0,0,0,0,0,0,877,1,No
7,1,8,0,0,3,0,0,0,0,0,0,0,877,1,No
2,0,3,0,0,1,0,0,0,0,0,0,0,164,1,No
3,0,6,0,0,3,0,0,0,0,0,0,0,822,1,No
1,1,8,0,0,3,0,0,0,0,0,0,0,701,1,No
6,2,11,0,0,3,0,0,0,0,0,0,0,597,1,No
1,7,3,0,0,3,0,0,0,0,0,0,0,507,1,No
7,0,12,0,0,3,0,0,0,0,0,0,0,437,1,No
8,2,28,0,0,1,0,0,0,0,0,0,0,219,1,No
2,6,7,4,0,4,2,2,0,0,1,2,25,437,1,No
2,3,2,0,0,3,0,0,0,0,0,0,0,507,1,No
3,5,11,2,0,4,1,1,0,0,1,2,25,813,1,No
10,5,18,0,0,3,0,0,0,0,0,0,0,786,1,No
0,2,0,0,0,4,0,0,0,0,0,0,0,836,1,No
2,5,2,2,0,4,1,1,0,0,1,2,25,786,1,No
2,5,5,4,0,4,2,2,0,0,1,2,25,786,1,No
3,5,11,0,0,3,0,0,0,0,0,0,0,507,1,No
10,13,22,6,0,5,3,3,0,0,1,2,25,394,1,No
7,10,11,0,0,4,0,0,0,0,0,0,0,232,1,No
5,5,15,0,0,3,0,0,0,0,0,0,0,346,1,No
1,5,1,2,0,4,1,1,0,0,1,2,25,323,1,No
6,6,11,0,0,3,0,0,0,0,0,0,0,346,1,No
2,5,2,6,0,4,1,1,-4,0,1,2,25,323,1,No
0,0,0,0,0,4,0,0,0,0,0,0,0,877,1,No
11,6,21,0,0,5,0,0,0,0,0,0,0,813,1,No
0,0,0,0,0,3,0,0,0,0,0,0,0,838,1,No
1,1,10,0,0,3,0,0,0,0,0,0,0,324,1,No
1,0,1,0,0,3,0,0,0,0,0,0,0,877,1,No
5,0,16,0,0,4,0,0,0,0,0,0,0,786,1,No
5,0,5,2,0,4,1,1,0,0,3,14,30,786,1,No
6,1,32,0,0,5,0,0,0,0,0,0,0,394,1,No
19,0,35,0,0,3,0,0,0,0,0,0,0,394,1,No
9,0,30,0,0,1,0,0,0,0,0,0,0,207,1,No
4,4,5,0,0,3,0,0,0,0,0,0,0,323,1,No
1,1,4,0,0,4,0,0,0,0,0,0,0,351,1,No
7,21,26,19,1,4,15,15,11,11,2,5,5,327,1,No
9,1,18,4,0,4,2,2,0,0,3,14,30,877,1,No
9,1,9,0,0,3,0,0,0,0,0,0,0,834,1,No
7,1,7,0,0,3,0,0,0,0,0,0,0,834,1,No
19,3,25,0,0,3,0,0,0,0,0,0,0,842,1,No
39,6,49,2,0,5,1,1,0,0,3,14,30,822,1,No
13,2,27,0,0,3,0,0,0,0,0,0,0,232,1,No
17,4,18,0,0,4,0,0,0,0,0,0,0,438,1,No
24,7,30,6,0,5,3,3,0,0,3,14,30,801,1,No
12,5,12,0,0,3,0,0,0,0,0,0,0,877,1,No
5,3,9,0,0,3,0,0,0,0,0,0,0,866,1,No
8,12,19,0,0,3,0,0,0,0,0,0,0,822,1,No
14,8,26,0,0,3,0,0,0,0,0,0,0,866,1,No
0,0,0,0,0,3,0,0,0,0,0,0,0,877,1,No
2,2,7,0,0,3,0,0,0,0,0,0,0,334,1,No
2,4,12,0,0,4,0,0,0,0,0,0,0,386,1,No
2,3,9,0,0,5,0,0,0,0,0,0,0,432,1,No
4,13,24,0,0,4,0,0,0,0,0,0,0,344,1,No
2,4,8,0,0,3,0,0,0,0,0,0,0,344,1,No
1,9,25,0,0,4,0,0,0,0,0,0,0,337,1,No
1,2,1,0,0,3,0,0,0,0,0,0,0,407,1,No
1,7,18,0,0,4,0,0,0,0,0,0,0,407,1,No
1,1,1,0,0,3,0,0,0,0,0,0,0,229,1,No
6,10,21,0,0,3,0,0,0,0,0,0,0,232,1,No
4,4,7,0,0,3,0,0,0,0,0,0,0,430,1,No
4,10,27,78,1,5,40,40,2,2,2,5,5,327,1,Yes
2,13,11,0,0,3,0,0,0,0,0,0,0,232,1,No
0,0,0,0,0,3,0,0,0,0,0,0,0,438,1,No
3,5,12,0,0,4,0,0,0,0,0,0,0,306,1,No
13,2,18,0,0,3,0,0,0,0,0,0,0,330,1,No
5,0,5,0,0,3,0,0,0,0,0,0,0,813,1,No
3,0,3,0,0,3,0,0,0,0,0,0,0,576,1,No
6,1,16,0,0,4,0,0,0,0,0,0,0,576,1,Yes
2,0,6,0,0,4,0,0,0,0,0,0,0,261,1,No
18,8,18,0,0,4,0,0,0,0,0,0,0,362,1,No
1,0,1,0,0,3,0,0,0,0,0,0,0,438,1,No
1,0,1,0,0,3,0,0,0,0,0,0,0,438,1,No
10,4,14,2,0,4,1,1,0,0,3,14,30,339,1,No
16,2,25,2,0,4,1,1,0,0,3,14,30,339,1,No
20,7,35,4,0,4,2,2,0,0,3,14,30,339,1,No
6,0,18,0,0,3,0,0,0,0,0,0,0,294,1,No
5,0,17,0,0,3,0,0,0,0,0,0,0,294,1,No
0,0,0,0,0,4,0,0,0,0,0,0,0,440,1,No
5,1,6,0,0,3,0,0,0,0,0,0,0,879,1,No
25,1,52,0,0,3,0,0,0,0,0,0,0,726,1,No
0,0,0,0,0,3,0,0,0,0,0,0,0,840,1,No
8,0,8,0,0,4,0,0,0,0,0,0,0,879,1,No
29,0,39,0,0,4,0,0,0,0,0,0,0,846,1,No
18,1,24,0,0,4,0,0,0,0,0,0,0,342,1,No
1,0,1,0,0,3,0,0,0,0,0,0,0,840,1,No
15,1,17,0,0,4,0,0,0,0,0,0,0,879,1,No
7,1,8,0,0,3,0,0,0,0,0,0,0,879,1,No
2,0,3,0,0,1,0,0,0,0,0,0,0,166,1,No
3,0,6,0,0,3,0,0,0,0,0,0,0,824,1,No
1,1,8,0,0,3,0,0,0,0,0,0,0,703,1,No
6,2,11,0,0,3,0,0,0,0,0,0,0,599,1,No
1,7,3,0,0,3,0,0,0,0,0,0,0,509,1,No
7,0,12,0,0,3,0,0,0,0,0,0,0,439,1,No
8,2,28,0,0,1,0,0,0,0,0,0,0,221,1,No
2,6,7,0,0,4,0,0,0,0,0,0,0,439,1,No
2,3,2,0,0,3,0,0,0,0,0,0,0,509,1,No
3,5,11,0,0,4,0,0,0,0,0,0,0,815,1,No
10,5,18,0,0,3,0,0,0,0,0,0,0,788,1,No
0,2,0,0,0,4,0,0,0,0,0,0,0,838,1,No
2,5,2,0,0,4,0,0,0,0,0,0,0,788,1,No
2,5,5,0,0,4,0,0,0,0,0,0,0,788,1,No
3,5,11,0,0,3,0,0,0,0,0,0,0,509,1,No
