Project,Release,ClassName,NOM,FanOut,CyclomaticComplexity,LOCTouched,NFix,NAuth,LOCAdded,MaxLOCAdded,Churn,MaxChurn,NS,ND,ChangeSetSize,Age,NSmells,Bugginess
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/membership/MDerSchema.java,0,1,0,383,0,3,207,93,31,93,55,442,2683,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/membership/MSchema.java,0,1,0,478,0,3,253,89,28,89,63,528,2777,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/membership/MVirAttr.java,5,3,7,162,0,4,116,53,70,53,42,394,2883,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/membership/MVirSchema.java,0,1,0,493,0,3,262,89,31,89,72,542,2887,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/package-info.java,0,0,0,120,0,3,70,14,20,14,59,435,2924,783,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/role/RAttr.java,11,4,19,376,0,4,256,91,136,91,73,618,3308,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/role/RAttrUniqueValue.java,5,3,7,150,0,4,111,49,72,49,49,409,2559,618,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/role/RAttrValue.java,3,2,4,241,0,4,149,35,57,35,53,402,2574,822,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/role/RDerAttr.java,4,3,6,123,0,4,93,53,63,53,40,369,2814,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/role/RDerSchema.java,0,1,0,343,0,3,186,93,29,93,53,429,2654,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/role/RSchema.java,0,1,0,406,0,3,217,89,28,89,59,502,2724,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/role/RVirAttr.java,5,3,7,149,0,4,109,53,69,53,39,370,2808,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/role/RVirSchema.java,0,1,0,421,0,3,226,89,31,89,68,516,2834,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/role/SyncopeRole.java,39,11,72,1072,0,4,746,164,420,164,105,805,3669,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/user/UAttr.java,11,4,19,401,0,4,279,91,157,91,78,642,3373,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/user/UAttrUniqueValue.java,5,3,7,148,0,4,110,49,72,49,49,409,2559,618,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/user/UAttrValue.java,3,2,4,265,0,4,161,35,57,35,57,433,2643,822,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/user/UDerAttr.java,4,3,6,125,0,4,94,53,63,53,48,425,2990,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/user/UDerSchema.java,0,2,0,343,0,3,187,89,31,89,58,467,2764,776,0,No
SYNCOPE,1,core/src/main/java/org/apache/syncope/core/persistence/beans/user/USchema.java,0,2,0,434,0,3,233,89,32,89,63,532,2810,776,0,No
