@relation dataset_SYNCOPE_final-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute NOM numeric
@attribute FanOut numeric
@attribute CyclomaticComplexity numeric
@attribute LOCTouched numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOCAdded numeric
@attribute MaxLOCAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute NS numeric
@attribute ND numeric
@attribute ChangeSetSize numeric
@attribute Age numeric
@attribute NSmells numeric
@attribute Bugginess {No,Yes}

@data
4,3,6,136,0,4,99,53,62,53,43,393,2889,776,0,No
0,1,0,383,0,3,207,93,31,93,55,442,2683,776,0,No
0,1,0,478,0,3,253,89,28,89,63,528,2777,776,0,No
5,3,7,162,0,4,116,53,70,53,42,394,2883,776,0,No
0,1,0,493,0,3,262,89,31,89,72,542,2887,776,0,No
24,7,30,460,0,4,334,148,208,148,76,608,3244,746,1,No
0,0,0,120,0,3,70,14,20,14,59,435,2924,783,0,No
11,4,19,376,0,4,256,91,136,91,73,618,3308,776,0,No
5,3,7,150,0,4,111,49,72,49,49,409,2559,618,0,No
3,2,4,241,0,4,149,35,57,35,53,402,2574,822,0,No
4,3,6,123,0,4,93,53,63,53,40,369,2814,776,0,No
0,1,0,343,0,3,186,93,29,93,53,429,2654,776,0,No
0,1,0,406,0,3,217,89,28,89,59,502,2724,776,0,No
5,3,7,149,0,4,109,53,69,53,39,370,2808,776,0,No
0,1,0,421,0,3,226,89,31,89,68,516,2834,776,0,No
39,11,72,1072,0,4,746,164,420,164,105,805,3669,776,0,No
53,9,96,1717,0,5,1145,144,573,144,173,1170,4411,776,1,No
11,4,19,401,0,4,279,91,157,91,78,642,3373,776,0,No
5,3,7,148,0,4,110,49,72,49,49,409,2559,618,0,No
3,2,4,265,0,4,161,35,57,35,57,433,2643,822,0,No
4,3,6,125,0,4,94,53,63,53,48,425,2990,776,0,No
0,2,0,343,0,3,187,89,31,89,58,467,2764,776,0,No
0,2,0,434,0,3,233,89,32,89,63,532,2810,776,0,No
5,3,8,206,0,5,139,53,72,53,47,429,2951,776,0,No
0,2,0,446,0,3,239,89,32,89,68,525,2856,776,0,No
5,2,5,194,0,3,115,35,36,35,56,458,3080,822,0,No
5,2,5,214,0,3,125,35,36,35,65,506,3195,822,0,No
5,2,5,198,0,3,117,35,36,35,64,504,3154,822,0,No
4,2,4,218,0,3,126,35,34,35,70,527,3150,822,0,No
4,1,4,104,0,3,68,15,32,14,49,418,2883,783,0,No
5,2,5,196,0,3,116,35,36,35,56,458,3080,822,0,No
5,4,5,192,0,3,115,35,38,35,62,491,3161,822,0,No
6,3,6,177,0,3,108,35,39,35,62,496,3074,822,0,No
5,3,5,237,0,3,137,35,37,35,77,567,3223,822,0,No
5,4,5,168,0,3,103,35,38,35,53,441,2964,822,0,No
1,0,1,97,0,3,65,14,33,14,33,323,2364,783,0,No
4,2,4,122,0,3,78,21,34,21,46,380,2714,383,0,No
8,5,8,151,0,3,98,14,45,14,53,474,3022,783,0,No
7,2,7,234,0,3,137,35,40,35,73,547,3205,822,0,No
7,3,7,237,0,3,139,35,41,35,79,573,3295,822,0,No
8,4,8,242,0,3,143,35,44,35,79,596,3269,822,0,No
12,5,12,235,0,3,144,35,53,35,70,530,3174,822,1,No
5,4,5,238,0,3,138,35,38,35,76,545,3173,822,0,No
12,5,12,277,0,3,165,35,53,35,78,595,3358,822,0,No
8,3,8,231,0,3,137,35,43,35,65,506,3116,822,0,No
13,5,13,232,0,3,144,35,56,35,94,679,3485,822,0,No
4,2,4,132,0,3,83,21,34,21,50,396,2736,383,0,No
4,2,4,295,0,5,177,35,59,35,81,602,3395,822,0,No
5,2,5,210,0,3,123,35,36,35,60,477,3137,822,0,No
5,4,5,202,0,3,120,35,38,35,62,491,3161,822,0,No
8,2,12,322,0,3,207,35,92,35,84,553,3151,822,0,No
5,2,7,440,0,3,253,58,66,58,64,514,3237,811,0,No
5,2,7,528,0,3,298,58,68,58,74,561,3326,811,0,No
5,3,9,281,0,3,178,58,75,58,64,518,3179,811,1,No
4,5,9,376,0,3,232,58,88,58,72,554,3132,811,0,No
5,2,7,383,0,3,226,58,69,58,61,501,3189,811,0,No
5,6,8,416,0,3,259,58,102,58,71,568,3321,811,0,No
6,5,9,368,0,3,227,58,86,58,72,586,3301,811,0,No
5,4,8,110,0,3,89,52,68,52,36,348,2651,185,0,No
5,6,8,194,0,3,142,60,90,60,47,422,2858,746,0,No
4,3,4,92,0,3,72,50,52,50,31,320,2597,279,0,No
8,6,14,216,0,3,151,75,86,75,51,439,2901,352,0,No
7,3,10,133,0,3,109,79,85,79,34,339,2645,177,0,No
8,4,12,158,0,3,129,74,100,74,38,354,2723,177,0,No
8,12,19,768,0,3,469,96,170,96,108,810,3648,767,1,No
14,8,26,858,0,3,529,77,200,77,100,741,3617,811,1,No
5,6,8,898,0,3,496,145,94,125,113,808,3812,811,0,No
13,8,23,586,0,4,388,58,190,58,88,660,3517,811,0,No
9,7,14,449,0,3,285,58,121,58,74,569,3296,811,0,No
17,16,79,1008,0,6,766,256,524,250,89,648,3334,566,3,No
4,3,4,120,0,3,88,50,56,50,35,336,2619,279,0,No
15,13,87,2081,0,6,1315,356,549,354,117,750,3640,822,11,No
5,2,7,569,0,3,319,58,69,58,78,580,3383,811,0,No
5,6,8,961,0,3,531,145,101,125,108,766,3751,811,0,No
2,0,67,318,0,1,318,318,318,318,1,5,6,23,7,No
3,3,16,619,0,3,369,149,119,149,66,520,3120,793,0,No
1,2,2,223,0,3,131,35,39,35,58,454,3004,822,0,No
1,3,6,230,0,4,142,35,54,35,65,485,3053,822,0,No
1,2,2,161,0,3,102,47,43,47,47,434,2988,793,0,No
0,1,0,191,0,3,112,35,33,35,57,452,3006,822,0,No
0,0,0,124,0,3,77,35,30,35,40,337,2347,822,0,No
1,1,1,523,0,3,275,149,27,149,51,461,3014,793,0,No
0,0,0,453,0,3,242,42,31,35,65,431,2825,822,1,No
0,0,0,72,0,3,56,38,40,38,31,331,2640,618,0,No
2,2,8,159,0,3,111,60,63,60,38,370,2715,618,2,No
0,0,0,72,0,3,56,38,40,38,31,331,2640,618,0,No
2,4,11,182,0,3,136,66,90,66,43,404,2811,618,3,No
0,0,0,78,0,3,59,38,40,38,35,360,2707,618,0,No
2,2,5,145,0,3,104,51,63,51,36,361,2712,618,2,No
1,0,2,127,0,3,96,68,65,68,42,383,2746,618,0,No
0,0,0,84,0,3,62,38,40,38,38,384,2765,618,0,No
2,3,6,145,0,3,103,51,61,51,43,386,2764,618,2,No
4,1,7,170,0,3,131,57,92,57,46,410,2830,618,0,No
0,0,0,78,0,3,59,37,40,37,35,345,2659,383,0,No
2,2,7,128,0,3,96,63,64,63,33,327,2606,279,1,No
0,0,0,78,0,3,59,38,40,38,34,347,2667,618,0,No
2,9,21,343,0,4,227,77,111,77,55,462,2957,352,3,No
0,0,0,70,0,3,55,37,40,37,33,333,2640,383,0,No
